epoch,lr,train_loss,train_iou,val_loss,val_iou,val_dice
1,9.999861209401554e-05,0.7321246517856768,0.5540737043241594,0.6559986336111802,0.4969849345978602,0.6555426685491995
2,9.999444846167473e-05,0.4438824497412572,0.6474284566147603,0.4346414345536029,0.6324112799926959,0.767572821500758
3,9.998750935981003e-05,0.3906939240747225,0.6802697316583438,0.4026430104349451,0.6528525704007214,0.7816417306826521
4,9.997779521645793e-05,0.3739307051919207,0.6873661212012036,0.3920281093726574,0.682412246600534,0.8050113674893595
5,9.996530663083254e-05,0.35063576138817243,0.7037509219804906,0.37602121356688095,0.6666058151327822,0.7926625796028094
6,9.995004437328866e-05,0.33259325937045997,0.7212370347329651,0.3458150869618984,0.6859220002584239,0.805745386894979
7,9.99320093852742e-05,0.32242475835031736,0.7245173247770542,0.36651891768531586,0.6608696735663268,0.7883431208738444
8,9.991120277927221e-05,0.30396489245076164,0.7361776049433361,0.32702375459095984,0.7160848866172262,0.8290161230960499
9,9.988762583873216e-05,0.30746036623933504,0.7352665539726608,0.3186389941010272,0.7174503782433164,0.8295338412498985
10,9.986128001799077e-05,0.2941391092195387,0.7407720353899138,0.2948324158925957,0.7404588541490628,0.8463917316746074
11,9.983216694218236e-05,0.29475829503793255,0.7401416552597744,0.325984842812639,0.7107179753269147,0.8250497454042186
12,9.98002884071386e-05,0.2911541539774065,0.7460808672620374,0.3006560948430275,0.735659727495494,0.8425237001387919
13,9.976564637927769e-05,0.2793704833849212,0.75380271017211,0.3065693383424755,0.7403366132787306,0.8462782787488624
14,9.972824299548309e-05,0.27741152995359497,0.7562655388580933,0.2913641147799306,0.7356040554884458,0.8423543187622885
15,9.968808056297168e-05,0.2752534018130107,0.7585960246276727,0.2866272896472952,0.7361412776899625,0.8427604552445134
16,9.96451615591515e-05,0.2665007894921037,0.7626783647141833,0.272755216579048,0.7568372891078746,0.8566578425183149
17,9.959948863146886e-05,0.26410655807496003,0.7637436875414965,0.3237641100427879,0.7134721121527038,0.8268157066685704
18,9.955106459724508e-05,0.2612232255392801,0.7625018444469467,0.28043174710477214,0.732863918889594,0.8404181876792314
19,9.94998924435027e-05,0.2632495947874612,0.7632775339066288,0.3101209912981306,0.7320976059302597,0.8407408041741417
20,9.944597532678119e-05,0.25723354529492476,0.7701316019392773,0.26573985223425123,0.7448335069053619,0.8486454493406969
21,9.938931657294229e-05,0.2500269557851398,0.775077319107177,0.3100658027050889,0.73040458119594,0.8395469339826186
22,9.932991967696483e-05,0.2525712195437637,0.7692614571687083,0.25806355100394623,0.7649776363725079,0.8633024618065828
23,9.926778830272912e-05,0.24494352734554212,0.7784772501912225,0.25278243624323593,0.7609631439188275,0.8601273874536456
24,9.9202926282791e-05,0.2488311160785115,0.776745024713062,0.2706038843501698,0.7515877541771604,0.8532895712528417
25,9.913533761814537e-05,0.2489854556587992,0.7733622821024315,0.27627849471038257,0.7559327466400594,0.8569847990675965
26,9.906502647797946e-05,0.24220280152603596,0.7793187918859152,0.25379924835543904,0.7636479704886473,0.8620736056202204
27,9.89919971994156e-05,0.24256028489774045,0.7756897293287143,0.260340197768636,0.7557314481375274,0.8567473595302819
28,9.891625428724365e-05,0.24451321748441923,0.7761107993950007,0.2497981934910139,0.7701458904276152,0.8657744372025358
29,9.883780241364324e-05,0.2402504201161374,0.783094520007889,0.261689938480425,0.7517707541037435,0.8537968991192323
