epoch,lr,train_loss,train_iou,val_loss,val_iou,val_dice
1,9.999861209401554e-05,1.0745297382984842,0.060982817692555744,1.1193319426642523,0.022422717450029297,0.04241186514295686
2,9.999444846167473e-05,0.9693904902253833,0.3354437512424639,0.9898696535765522,0.1415837594714538,0.23246710969503806
3,9.998750935981003e-05,0.8673169112631253,0.3874810748592215,0.8445705494495354,0.36040794865942133,0.5179040936691569
4,9.997779521645793e-05,0.7833092446838107,0.403320369585277,0.7582008808550208,0.37554001491835043,0.5402487371001372
5,9.996530663083254e-05,0.7140225044318608,0.40685755975274934,0.7244274634303469,0.41430705362271325,0.577367563919651
6,9.995004437328866e-05,0.67853936872312,0.41445752526449686,0.6648618693303581,0.42490319857816805,0.5899566358766063
7,9.99320093852742e-05,0.6327111061130252,0.4295289396003133,0.7105179118989694,0.3862276056115675,0.5449853189058651
8,9.991120277927221e-05,0.6058744431606361,0.45370286770550766,0.6979983876449893,0.3611227420746731,0.5208373288305547
9,9.988762583873216e-05,0.5861281358769962,0.4561508077522494,0.6140772393255522,0.42517380705175856,0.5886923443209533
10,9.986128001799077e-05,0.5625108597534043,0.47202538658573506,0.6424756351143422,0.33090315374467355,0.48286874436927424
11,9.983216694218236e-05,0.5375658688800675,0.4974592927817349,0.57555549764874,0.45827274653918815,0.6191534597449474
12,9.98002884071386e-05,0.5390724050147193,0.49715803233540823,1.0480032557188863,0.19660556025543144,0.321745211147965
13,9.976564637927769e-05,0.531752140394279,0.4838113203239508,0.6137119266721938,0.4202378613549014,0.5796514700503512
14,9.972824299548309e-05,0.5277861723942416,0.4911841502375901,0.8741613795058896,0.14069920870477093,0.23733271672822173
15,9.968808056297168e-05,0.4978273702519281,0.5284555306218325,0.8019633696536825,0.1760727116189477,0.2859799933575777
16,9.96451615591515e-05,0.4825969125543322,0.5316681135353141,0.6059149732493391,0.4466506526265884,0.6074903635825394
17,9.959948863146886e-05,0.4795954219464745,0.5432388385788138,0.48957853425632825,0.5200233487286684,0.6763155959473507
18,9.955106459724508e-05,0.4780813381075859,0.5412212745680666,0.5520438931205056,0.4536037953447397,0.616948278243467
19,9.94998924435027e-05,0.4687567704490253,0.5435085380409145,0.5204104937688269,0.4387135069242609,0.602560423838477
20,9.944597532678119e-05,0.4561483889286007,0.5546061359020215,0.49797826403319234,0.4766306159336161,0.6396531441163043
21,9.938931657294229e-05,0.45099664639149395,0.5451013472473114,0.5051776872138785,0.48160439352323514,0.6414260832038263
22,9.932991967696483e-05,0.43804673265133587,0.5657471788133813,0.472605490323269,0.5105835763623742,0.6676986807072777
23,9.926778830272912e-05,0.4495220429130963,0.5531106276597205,0.5089835497466001,0.4789362055843232,0.6395564840420634
24,9.9202926282791e-05,0.43921742934201446,0.5658959053870227,0.48489001483628247,0.4991460231421914,0.6563079572848715
25,9.913533761814537e-05,0.410427794658712,0.5848106187114751,0.4933122321210726,0.5095332858108007,0.6657651536389889
26,9.906502647797946e-05,0.4117005475397621,0.5778056250130704,0.4882146068895706,0.4968095425485326,0.6510893356205079
27,9.89919971994156e-05,0.42385777245674816,0.5784129591643029,0.6431569860439108,0.3921986970935779,0.5512310460316714
28,9.891625428724365e-05,0.40350640485329287,0.589864362475179,0.5029364086762823,0.4780615770369771,0.6368565817177911
29,9.883780241364324e-05,0.4083953393357141,0.5838703916686913,0.5065315158078165,0.48546220582813915,0.6411634807075804
30,9.875664641789545e-05,0.4013143155191626,0.588448012665026,0.48031296392883915,0.49455544073629293,0.6521074539122754
31,9.867279130608441e-05,0.3811239821038076,0.5958105632721207,0.5196373685441836,0.4492030941215126,0.6062923214663175
32,9.858624225078841e-05,0.3860089174870934,0.6100790198580673,0.48985955585735014,0.5171349479404413,0.6696674834536762
33,9.849700459076084e-05,0.39256926759013105,0.5927781635429099,0.4938407666755445,0.47685714294846715,0.6334298249493258
34,9.840508383060093e-05,0.36177754774689674,0.6271686288720018,0.5238540518765498,0.468029410546661,0.6292212900233497
35,9.831048564041413e-05,0.37735558381038053,0.6185501850119736,0.4326201123420638,0.5453818723330899,0.70045835277996
36,9.821321585546244e-05,0.36308646148868967,0.6140179706469608,0.4391566701609679,0.5390798347486409,0.6924700733439154
37,9.811328047580437e-05,0.374161085113883,0.6254473898936014,0.4491650173158357,0.5234665887026106,0.6750699417662
38,9.801068566592485e-05,0.36481295047061785,0.6249554686321062,0.45873124220154504,0.51982906389809,0.6727044131169114
39,9.790543775435505e-05,0.3763316622270005,0.6054796038792253,0.41463490793801316,0.5660030612470003,0.713961550052464
40,9.779754323328192e-05,0.36665625577526434,0.6267643245045332,0.45934502374042163,0.49926145967262286,0.6595975877646598
41,9.768700875814772e-05,0.3639622655298029,0.62577371745671,0.4289230406284332,0.5355765190046325,0.6859233968802437
42,9.757384114723956e-05,0.35251737838344915,0.6365673862467846,0.4365699625376499,0.5502622206166675,0.6989908076261956
43,9.745804738126874e-05,0.3413484128458159,0.6387513915095993,0.47793552008542145,0.5026883302504603,0.6563938056312911
44,9.733963460294018e-05,0.3434602570320879,0.6414735843538628,0.42906485603313255,0.563694543255386,0.713205945181893
45,9.721861011651183e-05,0.33919296839407514,0.6494266588585097,0.4076153419234536,0.5590740896567858,0.7091835262461605
46,9.709498138734407e-05,0.3365112282335758,0.6307161158688773,0.6478205232909231,0.37419459478034833,0.5306513684428266
47,9.696875604143928e-05,0.3374176702595183,0.6434852645826723,0.4707321027914683,0.502575940818271,0.6599448688890733
48,9.683994186497135e-05,0.3240723322544779,0.6476343514459657,0.5333293288043051,0.430408492497419,0.5874124078261141
49,9.670854680380546e-05,0.33120965478675707,0.6412682566940109,0.4568347626864308,0.5060721994439005,0.6630615488274514
50,9.657457896300793e-05,0.32006771277104107,0.6604000262132423,0.415394990432142,0.559258676156359,0.7092332924700079
51,9.643804660634622e-05,0.32674554575766834,0.6459640745996967,0.45590939395355456,0.5199750823711882,0.6721329280767775
52,9.629895815577918e-05,0.3402476866862604,0.6307740429886584,0.44921959500120145,0.521769559031642,0.6745745197230854
53,9.615732219093765e-05,0.29887605485107216,0.6681522285415704,0.4968558641696217,0.49975989774926793,0.64894483853238
54,9.601314744859506e-05,0.30913775760148254,0.6694718214260842,0.408561469930591,0.5811535735932981,0.7280788869959608
55,9.586644282212868e-05,0.31571248546242714,0.6651693178297743,0.39982623659601113,0.5727078965897117,0.7198157812154458
56,9.571721736097089e-05,0.3002765303743737,0.6726760569029617,0.42367297124983083,0.5672198450415002,0.7199552241609509
57,9.556548027005106e-05,0.30664877753172604,0.669450234873463,0.4046472642156813,0.5741980348288238,0.7218415068115759
58,9.541124090922772e-05,0.2984813528933695,0.6739272212418631,0.40482232275635305,0.5671845018654569,0.7186385614433602
59,9.525450879271115e-05,0.29373812169900965,0.6726764470395884,0.4129757066868772,0.548768025780973,0.6977867749463851
60,9.509529358847658e-05,0.29102957993745804,0.6753516287607286,0.425659546647409,0.5586373581917384,0.7073312114491018
61,9.493360511766779e-05,0.3029334491917065,0.6738504907117487,0.4297863284144739,0.5165363226628826,0.6694066942787996
62,9.476945335399126e-05,0.3013059793572341,0.6700496262558081,0.4097669404564482,0.5636345278401834,0.7114884702371775
63,9.4602848423101e-05,0.30081690209252493,0.6693567232565621,0.41701402613008864,0.5527530662155374,0.7040035708410073
64,9.44338006019739e-05,0.2693226576915809,0.7073070838344113,0.4618968355535257,0.5183673374715325,0.6755795948366335
65,9.426232031827592e-05,0.2891643305442163,0.6830694811769914,0.5579558312892914,0.4569048582224902,0.6117869667212217
66,9.408841814971865e-05,0.2857475163681166,0.6858685252764813,0.39687503227079757,0.5860411395811814,0.7336380401034228
67,9.391210482340701e-05,0.29722623952797483,0.6745378883395026,0.44372952827299483,0.5083167466654187,0.6677157293821671
68,9.37333912151775e-05,0.28776686851467403,0.6679880184763028,0.3710013689717861,0.5994814785665697,0.7450740137510067
69,9.355228834892728e-05,0.2764249549114278,0.7009286970649321,0.41115055316024357,0.5486305115337675,0.6949964299149994
70,9.336880739593419e-05,0.2735455944868071,0.7023128584795627,0.41022504384469505,0.5492717810101849,0.7005746910772505
71,9.31829596741677e-05,0.2674761063286236,0.6977853872577989,0.41412714394656097,0.5401569031956569,0.6919340141797818
72,9.29947566475907e-05,0.2611326137557626,0.7072188489376355,0.3924974687773772,0.5638871507960938,0.7141260356764131
73,9.28042099254524e-05,0.25968331284821033,0.7031947593900334,0.4184624573799095,0.5690299350217177,0.7158592369949359
74,9.261133126157218e-05,0.26150205079466105,0.6937090115107517,0.3759816617074639,0.5892922673094475,0.7345508559630693
75,9.241613255361455e-05,0.25721658234085354,0.7103603974654639,0.3826996705146751,0.5994195122670324,0.7441082900342444
76,9.221862584235528e-05,0.26904012143079725,0.707605141152363,0.38748049329627643,0.5624928583888038,0.7101621769425058
77,9.20188233109387e-05,0.24969499824302538,0.7226071613070927,0.39087013644401475,0.5876039431183878,0.7299077448291954
78,9.181673728412606e-05,0.2485023450904659,0.7187519594383771,0.3744029393701842,0.5901463730928429,0.7332893668551322
79,9.161238022753543e-05,0.24878570384212903,0.7200699040303252,0.40730385858603196,0.5661918341819139,0.7139739895039549
80,9.140576474687264e-05,0.25320183618792463,0.7015431211158799,0.4314814375506507,0.5404104511286475,0.6970330426131092
81,9.11969035871538e-05,0.23580960556864738,0.7344885839187457,0.4298903598929896,0.5240834387525368,0.6780651574236133
82,9.098580963191908e-05,0.24485763055937632,0.7273695615314859,0.4701560275121169,0.5034507304123857,0.6633553956212115
83,9.077249590243795e-05,0.25137793365865946,0.7145635234503923,0.3909651387219477,0.5660256050180479,0.7170726873596123
84,9.055697555690606e-05,0.24847123000238622,0.7221617678670861,0.4071333143446181,0.5716077521287214,0.7198140461847526
85,9.033926188963352e-05,0.2437702255057437,0.7328705503281397,0.4125384104372275,0.565389920109594,0.7145932385872859
86,9.011936833022484e-05,0.24224293564579316,0.7354636546041496,0.40040386385387844,0.5609417324103948,0.7104571490528615
87,8.989730844275056e-05,0.2524182224380119,0.7189442611866383,0.5138007101386485,0.48026908563838094,0.6377683207455868
88,8.96730959249105e-05,0.258683019982917,0.6999240643508455,0.38705489551178135,0.6055084938875228,0.7491809856239434
89,8.944674460718896e-05,0.24601522673453605,0.7252299732344525,0.36313201005410667,0.6052136211844525,0.7507379734253399
90,8.921826845200139e-05,0.24389084401939595,0.727488986642637,0.3643924080663257,0.600776829397854,0.7452014115326218
91,8.898768155283326e-05,0.23611213812338455,0.7265433976490802,0.4065882908274429,0.5591358143557742,0.708954117772031
92,8.875499813337067e-05,0.23394103720784187,0.7316385717576196,0.4198568213467646,0.5506950330804047,0.7036806647491494
93,8.852023254662298e-05,0.2335129546533738,0.7314663446052407,0.38023513164183104,0.5958337373149631,0.741068122817473
94,8.828339927403742e-05,0.23136114914502418,0.731231694519824,0.41934546316512905,0.5471874606610956,0.6998424995172228
95,8.804451292460585e-05,0.23775064705738,0.7289933823139361,0.40222673599768166,0.5412052092399057,0.6897278608224855
96,8.780358823396352e-05,0.23044747792716538,0.7433550353291143,0.38208819097942776,0.5779390420871612,0.7265234735920165
97,8.756064006348021e-05,0.2181908129049199,0.7420696963874465,0.4145983698392155,0.5511775045248433,0.7036004101322193
98,8.731568339934349e-05,0.23416221341384308,0.7434074191595482,0.42123589461499994,0.544796859833393,0.6976733977565988
99,8.706873335163423e-05,0.22526396358651773,0.7406392678282704,0.4120293346920399,0.5353498484936372,0.689008769416124
100,8.681980515339464e-05,0.21507766057870217,0.7486521486699694,0.38522411762463926,0.5696746372367412,0.7202283960524112
101,8.656891415968851e-05,0.22776915226131678,0.7480223589949533,0.38103189010812777,0.585221390964636,0.7345067156600822
102,8.631607584665414e-05,0.21247290088129894,0.7617788668336883,0.38614537333599247,0.5647867087002121,0.7134402942847847
103,8.606130581054968e-05,0.2171581406146288,0.7499000610924451,0.44571409863655015,0.5326346718058173,0.6896735440662373
104,8.5804619766791e-05,0.21379482559859753,0.750494896329219,0.39797907119447534,0.5827342073278691,0.7289503600411135
105,8.55460335489824e-05,0.2198510848517929,0.751955875568359,0.4150789500486971,0.5266968756176381,0.6796198733142507
106,8.52855631079398e-05,0.22353569098881312,0.7386365240512871,0.408876445558336,0.5462512416949143,0.699091780856095
107,8.502322451070698e-05,0.21302456209169968,0.757609562520077,0.38609282883128737,0.5552445660377674,0.7032337838618218
108,8.475903393956433e-05,0.21129047737589904,0.7516341369304519,0.4165397316518456,0.5263542718763042,0.6776047266118617
